,region,day,production_price_change,demand_exceedance,capacity_utilization_change
169,NY,84,-0.002008471823657376,0.0005040515672296575,0.0005527912584575301
170,USA-OTH,0,0.0,2.220446049250313e-16,0.0
171,USA-OTH,1,0.0,2.220446049250313e-16,0.0
172,USA-OTH,2,0.0,2.220446049250313e-16,0.0
173,USA-OTH,3,0.0,2.220446049250313e-16,0.0
174,USA-OTH,4,0.0,2.220446049250313e-16,0.0
175,USA-OTH,5,0.0,-0.003807837224501731,0.0
176,USA-OTH,6,3.2054985756868604e-05,0.02063903802502809,-0.018025792847111255
177,USA-OTH,7,-0.023761590120891407,0.047744191808720915,-0.009139615031035997
178,USA-OTH,8,-0.014258554101203025,0.0700971928152625,-0.017931086841504684
179,USA-OTH,9,-0.019015586663471584,0.09322471459567461,-0.00696191456351547
180,USA-OTH,10,-0.010706903690415936,0.11068353874759707,-0.009322580898444843
181,USA-OTH,11,-0.016620971152157882,0.1281666390867955,0.000693223420259903
182,USA-OTH,12,-0.007026765138914093,0.1399064972776971,0.004456817852245942
183,USA-OTH,13,-0.006031930681746123,0.1479873999672079,0.007741346776197533
184,USA-OTH,14,-0.002086854126056914,0.15295612909984135,0.009545447041988897
185,USA-OTH,15,-0.0010474176039981797,0.1574904531163397,0.01017968379498324
186,USA-OTH,16,-0.00013972545520979374,0.15933326508082035,0.010484655907641027
187,USA-OTH,17,0.0004667766647417082,0.15953270380004048,0.010606117950231697
188,USA-OTH,18,0.001000492348268045,0.15886547665767603,0.010670248954611994
189,USA-OTH,19,0.0014743720955379125,0.15751196574696058,0.01071298295353107
190,USA-OTH,20,0.0019390561141048313,0.15528754756849317,0.010751705224677499
191,USA-OTH,21,0.002396511737023932,0.15312319760445536,0.010786975322322867
192,USA-OTH,22,0.0028458449696624477,0.15020049680605063,0.01082255181839975
193,USA-OTH,23,0.003275012733152227,0.14672562939910594,0.010860899274386382
194,USA-OTH,24,0.0036969665659121187,0.1428392144398356,0.010891045938972166
195,USA-OTH,25,0.004097951700541502,0.13850636753513146,0.01090215381383941
196,USA-OTH,26,0.004483556028205271,0.1337649399580665,0.010882866140363934
197,USA-OTH,27,0.004835700346274896,0.12859697909312162,0.01083086298676128
198,USA-OTH,28,0.005159284693997401,0.12301801196284368,0.010711824851128648
199,USA-OTH,29,0.005442287502104071,0.1173824397951051,0.010634862496552877
200,USA-OTH,30,0.005714319604990026,0.11117230759096319,0.01056242651009276
201,USA-OTH,31,0.006023115434418358,0.1050092456270999,0.010341494745918611
202,USA-OTH,32,0.0062437452884955835,0.09897205656287622,0.010209365005238391
203,USA-OTH,33,0.006465894336117328,0.09186544634815275,0.010351269603797064
204,USA-OTH,34,0.006674743622463897,0.08521178285490172,0.009902445696958528
205,USA-OTH,35,0.006228921826344047,0.07811345030373729,0.009824914876315871
206,USA-OTH,36,0.006593039666219269,0.07116203915956643,0.009681952765820068
207,USA-OTH,37,0.006705072992172489,0.06443953990578732,0.009583513998261628
208,USA-OTH,38,0.0066976869867747535,0.05974043355812153,0.008431177287031133
209,USA-OTH,39,0.00663477285767522,0.052208753123869966,0.008875952082193272
210,USA-OTH,40,0.006723883366299921,0.03926293357772126,0.006996261967069151
211,USA-OTH,41,0.005273962905272489,0.038676870061326474,-5.0472277007496125e-05
212,USA-OTH,42,0.0005121144163462432,0.03409599475500613,0.0033144064092123227
213,USA-OTH,43,-0.0006437413585094198,0.01775210081969747,0.0017186872852963386
214,USA-OTH,44,-0.00411681188802504,0.019689802540105328,0.0011051493245741728
215,USA-OTH,45,-0.004301831237518816,0.018618776886112576,0.000717006036045742
216,USA-OTH,46,-0.004563297748414796,0.017721470826482344,0.0007248425213606247
217,USA-OTH,47,-0.00537903765914971,0.016142834765171532,0.0008344468686125595
