State,Sector,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AZ,"Professional, scientific, and technical services",6294.1,6800.0,7499.7,8242.2,8509.9,8902.8,9167.1,10309.6,11600.7,13091.8,14223.4,15098.3,14130.6,14129.3,15042.6,15370.7,15706.4,16150.8,16953.4,17715.3,18784.1,20209.4,21400.6
AZ,Management of companies and enterprises,1073.8,1221.8,1267.1,1489.4,1685.0,1681.2,1869.4,2254.8,2124.3,2433.4,2895.3,2990.5,2872.6,2775.6,2759.8,3052.4,3450.2,3740.3,3819.0,3840.0,4082.3,3690.1,4091.0
AZ,Administrative and support and waste management and remediation services,4430.0,4888.8,5711.5,6603.6,6935.0,7005.5,7700.8,8662.6,10073.1,11098.2,11670.1,11796.9,10814.0,10631.0,10767.1,11056.1,11945.7,12718.2,13368.7,13902.3,14993.9,15875.2,16713.3
AZ,Educational services,638.3,732.4,773.0,903.0,937.3,1131.0,1328.9,1690.5,1849.8,2000.7,2165.3,2522.1,2969.3,3328.8,3476.1,3681.4,3613.7,3732.7,3845.3,3966.5,4032.3,4081.3,4207.8
AZ,Health care and social assistance,7550.8,8015.9,8543.2,9063.8,9904.5,10821.0,11960.8,13198.1,14286.4,15970.8,17386.4,19367.0,20388.0,20998.3,21885.2,22508.1,23157.6,23809.7,25078.9,26720.4,28404.0,30041.4,31820.1
AZ,"Arts, entertainment, and recreation",1213.7,1364.5,1493.6,1724.0,1651.5,1852.7,2050.1,2009.5,2022.7,2075.6,2094.3,2047.1,2017.7,2053.4,2134.6,2558.6,2825.8,3107.4,3135.9,3442.6,3720.9,3807.4,3994.5
AZ,Accommodation and food services,4087.7,4434.6,4815.8,5332.9,5402.1,5636.3,5980.2,6942.9,8144.4,8921.4,9441.8,8836.3,8418.1,8492.0,8950.7,9611.8,10029.4,9641.9,10641.7,11180.9,12231.2,13182.3,13681.0
AZ,Other services (except government and government enterprises),3259.8,3683.1,3819.1,4103.2,3787.7,4045.7,3979.2,4199.2,4579.6,5091.4,5276.2,5144.3,4999.8,4926.9,5050.3,5328.6,5486.3,5864.5,6064.8,6229.4,6520.2,6956.0,7412.2
AZ,Government and government enterprises,17851.4,18984.5,20016.5,21087.0,22751.5,24202.5,25930.2,27538.3,29685.8,31790.1,33758.5,35714.1,34946.8,36491.5,37009.3,37729.9,38548.2,38655.1,39566.7,40702.6,42488.3,44129.1,45955.0
AR,All industry total,59826.9,62397.8,66791.2,68740.4,70680.3,73986.5,78306.3,84557.0,89643.1,94451.6,96991.9,99014.4,96983.7,100970.8,105107.8,107718.8,112764.6,116151.8,117734.3,119191.8,122978.5,127761.3,130954.1
AR,"Agriculture, forestry, fishing and hunting",2754.8,2357.5,2279.5,2101.5,2321.0,1930.3,2664.3,3810.4,2863.4,2722.4,3039.4,3003.0,2277.2,2128.6,2264.9,2573.5,3874.7,3379.5,2823.8,2420.0,2996.2,2916.7,1917.5
AR,"Mining, quarrying, and oil and gas extraction",336.8,322.3,320.3,349.6,410.0,370.0,424.8,560.6,755.1,1096.8,1810.0,2944.4,2406.4,2906.1,3523.8,2997.1,3249.0,3490.7,1979.1,1422.3,1406.6,1320.4,1109.9
